source,model,period,n_test,RMSE,MAE,skill_vs_M0,DirAcc,CW_p_vs_M0,DM_p_vs_ref
M3_Deep,M_ship_GNN,early(<2023-01-01),102,5.210152861620877,3.7545625513780845,-0.004134550401341919,0.5588235294117647,0.4553751706927829,
M3_Deep,M_ship_GNN,late(>=2023-01-01),155,3.3067960925217914,2.5248501581979577,-0.003268417382738864,0.47096774193548385,0.6497720651903353,
M4_Deep,M4_Deep_gated,full,257,4.204943374355334,3.0570236712666747,-0.01280381997021296,0.5019455252918288,0.8944291166651883,
M4_Deep,M4_Deep_gated,early(<2023-01-01),102,5.310633372320021,3.891074217640759,-0.023499808027121816,0.47058823529411764,0.988433590615221,
M4_Deep,M4_Deep_gated,late(>=2023-01-01),155,3.2799190604727606,2.508164602039857,0.0048859642765223255,0.5225806451612903,0.06167531020668149,
M4_Deep,M4_Deep_Concat,full,257,4.320439963692605,3.082789113468392,-0.04062236030721622,0.49416342412451364,0.6374368985471914,
M4_Deep,M4_Deep_Concat,early(<2023-01-01),102,5.504063023317588,3.9109723203679403,-0.06077882858513006,0.46078431372549017,0.6316396125875394,
M4_Deep,M4_Deep_Concat,late(>=2023-01-01),155,3.318718548196894,2.5377911321538504,-0.0068856416995106695,0.5161290322580645,0.5739338062984323,
Deep_all,M1_Deep,full,257,4.249855085312962,3.1153579377589478,-0.023621267048500094,0.49416342412451364,0.3153123122722119,0.4663425407073484
Deep_all,M1_Deep,early(<2023-01-01),102,5.2579428624492115,3.8339057294805365,-0.013344950224526864,0.5,0.7003655490140319,0.27371584712252317
Deep_all,M1_Deep,late(>=2023-01-01),155,3.428399135960625,2.6425071328840968,-0.04016228368907182,0.49032258064516127,0.15591730236958634,0.7773037381483733
Deep_all,M_ship_GNN,full,257,4.167583924094688,3.0129072169698365,-0.0038054124846969017,0.5058365758754864,0.49642770688224347,0.10625106118334883
Deep_all,M_ship_GNN,early(<2023-01-01),102,5.210152861620877,3.7545625513780845,-0.004134550401341919,0.5588235294117647,0.4553751706927829,0.16781231602392788
Deep_all,M_ship_GNN,late(>=2023-01-01),155,3.3067960925217914,2.5248501581979577,-0.003268417382738864,0.47096774193548385,0.6497720651903353,0.1873310114818374
Deep_all,M_rs_deep,full,257,4.2473340827514265,3.1037330644893424,-0.02301405767677589,0.4591439688715953,0.9281138079154376,0.45729247721352034
Deep_all,M_rs_deep,early(<2023-01-01),102,5.347914711210284,3.9581440712915246,-0.030684910165043933,0.39215686274509803,0.9278233979001103,0.5291266272425146
Deep_all,M_rs_deep,late(>=2023-01-01),155,3.3302340041236205,2.541475498722745,-0.010379383956305555,0.5032258064516129,0.6152276832816399,0.3144952117935208
Deep_all,M3_Deep_gated,full,257,4.147268403326599,3.018918315220264,0.0010877894461754911,0.5291828793774319,0.16586889151351725,0.06077577656204463
Deep_all,M3_Deep_gated,early(<2023-01-01),102,5.183993104200271,3.7818927745184294,0.0009071282122826707,0.5,0.26616067494448625,0.11627636716365941
