date,emodnet_mean_rotterdam,emodnet_mean_suez,emodnet_max_rotterdam,emodnet_max_suez,emodnet_std_rotterdam,emodnet_std_suez,emodnet_sum_rotterdam,emodnet_sum_suez,emodnet_n_valid_pixels_rotterdam,emodnet_n_valid_pixels_suez
2023-04-01,80.73722076416016,2.9354352951049805,2790.2158203125,9.668641090393066,295.9056701660156,2.5204765796661377,11949.1083984375,472.6050720214844,148,161
2023-05-01,71.88191986083984,3.2644073963165283,2673.6826171875,10.396316528320312,300.4355163574219,2.5229175090789795,12148.044921875,512.511962890625,169,157
2023-06-01,68.75289154052734,3.999338388442993,2085.72216796875,13.007960319519043,264.91400146484375,3.415365219116211,10587.9453125,631.8954467773438,154,158
2023-07-01,62.80973434448242,5.031892776489258,2583.73388671875,20.002368927001953,279.97540283203125,4.38224983215332,11494.181640625,835.294189453125,183,166
2023-08-01,70.66835021972656,6.696008682250977,2280.4716796875,28.455989837646484,279.39788818359375,5.752779006958008,12154.9560546875,1057.9693603515625,172,158
2023-09-01,79.88619995117188,4.220663547515869,2592.637451171875,14.351286888122559,304.4825744628906,3.72033953666687,11743.271484375,654.202880859375,147,155
2023-10-01,61.43162536621094,2.191241979598999,2228.9833984375,6.496833801269531,252.7819366455078,1.8181755542755127,11426.2822265625,341.833740234375,186,156
2023-11-01,73.59622192382812,1.6125322580337524,2355.24365234375,9.773669242858887,277.48504638671875,1.3874679803848267,11333.818359375,254.78009033203125,154,158
2023-12-01,85.08036804199219,0.7554110884666443,2518.492919921875,1.9516832828521729,303.0701599121094,0.5351942777633667,12591.89453125,101.22508239746094,148,134
2024-01-01,76.80782318115234,0.13291701674461365,2792.3056640625,0.39368191361427307,291.4300537109375,0.09289100766181946,12212.443359375,15.019622802734375,159,113
2024-02-01,88.88407135009766,0.12194350361824036,3167.905517578125,0.5167373418807983,336.8492431640625,0.1075126975774765,12799.306640625,12.5601806640625,144,103
2024-03-01,75.63301086425781,0.2314411997795105,2769.247802734375,0.8921126127243042,303.54962158203125,0.17531698942184448,12555.080078125,32.170326232910156,166,139
2024-04-01,70.61654663085938,0.8500509858131409,2385.556396484375,2.669776201248169,276.8554382324219,0.6621438264846802,11863.580078125,128.35769653320312,168,151
2024-05-01,64.84871673583984,0.7608699202537537,3060.991455078125,2.7068662643432617,295.1913757324219,0.6886535882949829,12256.4072265625,115.65222930908203,189,152
2024-06-01,65.96997833251953,0.9507023096084595,3166.243896484375,4.181554317474365,286.19110107421875,0.8365808725357056,11676.6865234375,147.35885620117188,177,155
2024-07-01,86.38092041015625,2.3789451122283936,2524.7109375,9.412237167358398,304.0438537597656,2.2528536319732666,12611.6142578125,361.5996398925781,146,152
2024-08-01,73.31809997558594,2.2251901626586914,2148.1123046875,8.55478572845459,267.7723693847656,2.0227365493774414,11437.623046875,324.87774658203125,156,146
2024-09-01,73.4271240234375,0.5773162841796875,2537.02392578125,2.5784943103790283,276.2857360839844,0.5470916628837585,11895.1943359375,79.66964721679688,162,138
2024-10-01,84.84027862548828,1.1352894306182861,2221.35888671875,3.1518373489379883,293.4520263671875,0.8759099841117859,12132.16015625,173.69927978515625,143,153
2024-11-01,69.81733703613281,0.47108176350593567,2237.25,1.334296464920044,268.15057373046875,0.3116007149219513,10891.5048828125,65.00928497314453,156,138
2024-12-01,69.55827331542969,0.5945366621017456,2205.81689453125,2.3173115253448486,260.9597473144531,0.5203802585601807,11268.4404296875,86.80235290527344,162,146
