date,P_t,P_next_actual,P_hat_M0,r_hat_intact,P_hat_intact,r_hat_gfw,P_hat_gfw,r_hat_portwatch,P_hat_portwatch,r_hat_shipping,P_hat_shipping
2022-07-22,106.77,111.51,106.77,-0.0010982456263912699,106.65280468087306,-0.001345457410336648,106.62644210946854,-0.0011428453959043683,106.64804809643844,-0.0017921648361893805,106.57882192292332
2022-07-29,111.51,100.31,111.51,-0.0017442710016866148,111.31566587556237,-0.002101860980353587,111.27586762512848,-0.0016343219706371759,111.3279055980265,-0.0023333854292464373,111.25010752336324
2022-08-05,100.31,103.7,100.31,-0.0010809429525291403,100.20162919431318,-0.001345737977386241,100.17509981399893,-0.0008908883918405941,100.22067478072293,-0.0014544571895349634,100.16420944807696
2022-08-12,103.7,96.45,103.7,-0.0025834465274510166,103.4324423543496,-0.0029082615986080196,103.39885139394676,-0.002667999564394785,103.42369719695004,-0.003259168885808572,103.36257434881645
2022-08-19,96.45,101.13,96.45,-0.0007193795729144581,96.38064079098264,-0.0010136473869784002,96.35228324306044,-0.0005747818101617952,96.39457822365019,-0.0011105012107723855,96.34295160790664
2022-08-26,101.13,93.09,101.13,-0.0008208489844585554,101.04702160322725,-0.0011374574694149597,101.0150343227975,-0.0008080514900168367,101.04831476019913,-0.0013590711470652383,100.99265048991663
2022-09-02,93.09,91.68,93.09,-0.002371606454930175,92.86948874142844,-0.0026241853826205475,92.84603482765385,-0.0021740560778999996,92.8878369562326,-0.0027657527614532995,92.83289178820306
2022-09-09,91.68,89.43,91.68,-0.0009344033020952658,91.59437391614175,-0.001136573163640131,91.57585816597522,-0.0007309472484554602,91.61301124186842,-0.001322501310425217,91.55883321913362
2022-09-16,89.43,84.29,89.43,-0.002593625915665143,89.1983525676097,-0.002819627350229892,89.17819588977346,-0.002449847252826709,89.21117830948117,-0.003133620326801756,89.15019895825067
2022-09-23,84.29,88.9,84.29,-0.004029046948166526,83.95107486386878,-0.004231653766912702,83.93406752661973,-0.0038503922423578363,83.96607445828509,-0.0045307049893879014,83.90897069392486
2022-09-30,88.9,98.88,88.9,-0.004583099327193585,88.49349470842326,-0.004682420582318159,88.48470585992541,-0.004507639260499685,88.50017268539305,-0.005092968630733052,88.44838609263498
2022-10-07,98.88,92.22,98.88,-0.0015592562565185375,98.72594088139113,-0.0018297805644420517,98.69923672678442,-0.00140713332179776,98.74096050363661,-0.0020325250688699725,98.6792280273423
2022-10-14,92.22,91.82,92.22,-0.00270897638198786,91.9705162733854,-0.002857636391920604,91.95684495173727,-0.002542090424772381,91.9858661418324,-0.0029833080886880747,91.94528930512686
2022-10-21,91.82,94.64,91.82,-0.005340290735120212,91.33096147089256,-0.005412126173851339,91.32440090684888,-0.005696004454707582,91.29847957234523,-0.005819954766558999,91.28716379864201
2022-10-28,94.64,99.53,94.64,-0.0076760146568971566,93.91632300380905,-0.007751886595616542,93.90919766061558,-0.007914389305973324,93.89393840133737,-0.00809694120636395,93.87679944886881
2022-11-04,99.53,96.37,99.53,-0.003709311189173392,99.16149612763007,-0.00377395409336323,99.15508624771543,-0.003945532211527714,99.13807486404293,-0.004042955918617586,99.12841693573915
