period_id,label,kind,n_weeks,node_id,mean_shap_abs,mean_shap_signed,share_shipping,mean_node_attention
event_opec_plus,OPEC+ surprise cut,event,16,P011,5.2531675e-05,1.9841511e-06,0.05733745,0.03889346600044514
event_opec_plus,OPEC+ surprise cut,event,16,cape,4.8783535e-05,-6.340467e-07,0.05324642,0.06085358560085292
event_opec_plus,OPEC+ surprise cut,event,16,P006,4.4716464e-05,6.609097e-06,0.04880728,0.044958629179745864
event_opec_plus,OPEC+ surprise cut,event,16,panama,4.0107858e-05,5.1873058e-06,0.04377706,0.07297940319404002
event_opec_plus,OPEC+ surprise cut,event,16,P009,3.461373e-05,1.7735829e-07,0.037780315,0.046901533612981404
event_opec_plus,OPEC+ surprise cut,event,16,P010,3.1258623e-05,3.8612607e-06,0.03411827,0.03717881429474796
event_opec_plus,OPEC+ surprise cut,event,16,P001,3.0303085e-05,7.853366e-07,0.033075314,0.051136324182152706
event_opec_plus,OPEC+ surprise cut,event,16,P002,2.8005135e-05,1.5774368e-06,0.030567141,0.03661219682544466
event_opec_plus,OPEC+ surprise cut,event,16,P005,2.7563214e-05,5.5236364e-06,0.03008479,0.04680600250139828
event_opec_plus,OPEC+ surprise cut,event,16,P003,2.2194658e-05,5.6380995e-06,0.0242251,0.04861843097023662
event_opec_plus,OPEC+ surprise cut,event,16,P007,2.065726e-05,-4.888362e-07,0.022547057,0.039548230124637436
event_red_sea,Houthi Red Sea attacks,event,16,P004,0.00015430438,-1.8132021e-05,0.11667776,0.04005822842009362
event_red_sea,Houthi Red Sea attacks,event,16,suez,0.00013936973,-4.3857322e-05,0.10538488,0.09301082184538241
event_red_sea,Houthi Red Sea attacks,event,16,cape,0.00012798102,-9.90676e-06,0.096773274,0.09647225495427841
event_red_sea,Houthi Red Sea attacks,event,16,hormuz,0.00011623058,-3.6369893e-06,0.08788814,0.1435621124692261
event_red_sea,Houthi Red Sea attacks,event,16,P001,0.000113009875,4.673682e-06,0.08545279,0.041976584820076775
event_red_sea,Houthi Red Sea attacks,event,16,mandeb,0.000108118744,-4.1853677e-05,0.08175434,0.08789240662008521
event_red_sea,Houthi Red Sea attacks,event,16,panama,9.5458825e-05,-9.269993e-06,0.0721815,0.10122958803549405
event_red_sea,Houthi Red Sea attacks,event,16,malacca,8.638756e-05,-9.251351e-06,0.065322235,0.06981367734260853
event_red_sea,Houthi Red Sea attacks,event,16,P011,6.8308116e-05,1.0901767e-05,0.051651407,0.03244047367479647
event_red_sea,Houthi Red Sea attacks,event,16,P005,5.2845196e-05,6.5933505e-06,0.03995907,0.0427521846722811
event_red_sea,Houthi Red Sea attacks,event,16,P006,5.042624e-05,-5.153031e-07,0.038129967,0.037143110646866206
event_red_sea,Houthi Red Sea attacks,event,16,P002,4.8555383e-05,1.4812909e-05,0.036715314,0.03322492970619346
event_red_sea,Houthi Red Sea attacks,event,16,P008,4.6818426e-05,3.371728e-06,0.035401907,0.034799683606252026
event_red_sea,Houthi Red Sea attacks,event,16,P009,3.9655744e-05,-6.631085e-06,0.02998582,0.041240965016186196
event_red_sea,Houthi Red Sea attacks,event,16,P003,2.8487995e-05,8.276049e-06,0.021541292,0.04052819660864766
event_red_sea,Houthi Red Sea attacks,event,16,P007,2.570612e-05,5.998677e-06,0.019437768,0.03463990194723006
event_red_sea,Houthi Red Sea attacks,event,16,P010,2.0819225e-05,2.0878024e-06,0.015742525,0.02921487286221231
