date,P_next_actual,P_hat_M0,P_hat_intact,P_hat_hormuz,P_hat_suez,P_hat_malacca,P_hat_mandeb,P_hat_panama,P_hat_cape,P_hat_joint4
2023-01-13,86.96,83.43,83.01668638479937,83.01113885558587,83.01500628485714,83.01972834956517,83.0176897082466,83.01879745318612,83.01689712890223,83.0107096765805
2023-01-20,85.36,86.96,86.48844881676655,86.4939717824799,86.48600258372626,86.49263182848318,86.48988558764123,86.4869822951745,86.48434635179127,86.48916768806913
2023-01-27,78.85,85.36,84.49417365325196,84.49345330294356,84.49352328849251,84.4979644503296,84.49124540151651,84.49552059282286,84.49514747312914,84.48985424832928
2023-02-03,85.46,78.85,78.33524689957322,78.34044453025903,78.33510916057003,78.33852557795402,78.33734907959273,78.33482313756906,78.32984635963442,78.3353988072176
2023-02-10,81.97,85.46,85.02450235386016,85.03206852633416,85.02399688283894,85.02837802279312,85.02026216986009,85.02380788900076,85.0201976893108,85.0242324485624
2023-02-17,82.31,81.97,81.2211860040461,81.22223678806975,81.21745716180233,81.22665608926121,81.22780703014587,81.22416995234187,81.22454857746833,81.22676794383918
2023-02-24,85.74,82.31,81.38987496592914,81.39520977917029,81.38959342999576,81.39345179495041,81.39102704854925,81.39053205417814,81.38898051140296,81.39287381062134
2023-03-03,82.3,85.74,84.97145301405327,84.97842874773761,84.97051972279883,84.97616573259621,84.97111455507459,84.97051815102206,84.97035032035821,84.97543402503467
2023-03-10,71.03,82.3,81.54612114433812,81.55385457444815,81.54811129400916,81.55038081779514,81.54713540395342,81.5455015999095,81.54479876249687,81.55158595967762
2023-03-17,73.63,71.03,70.32034898543009,70.32368816514649,70.31925872404024,70.32321979165638,70.32154549575982,70.3221456736443,70.3219867578937,70.32461769449456
2023-03-24,79.19,73.63,73.03667856964702,73.04055529067006,73.03736279231346,73.03956194058172,73.03522397979191,73.03592905445575,73.03299103808378,73.03696881557889
2023-03-31,86.56,79.19,78.4749766051228,78.47735794786878,78.47330161153842,78.47833403862288,78.47606307169012,78.47521265547998,78.47597121500499,78.47697632170224
2023-04-07,87.31,86.56,85.84675345838653,85.84654172727704,85.84533575212403,85.8493390020207,85.84638610524455,85.84587821829508,85.84610750369369,85.84129360929792
2023-04-14,83.36,87.31,86.72619734726635,86.73128101799087,86.72330965054608,86.7308293063033,86.7272411875983,86.72636347675174,86.72827755379937,86.7284136513128
2023-04-21,81.32,83.36,82.60093252168195,82.60786751864113,82.60223003175734,82.59589205524931,82.60168721244017,82.59983327002217,82.59732632641291,82.60594966795429
2023-04-28,75.85,81.32,80.63093988653361,80.63508675849351,80.63266556777188,80.62845823054292,80.62958373663193,80.62891848260304,80.6232891719826,80.62881284261985
2023-05-05,74.54,75.85,75.31156465809403,75.3171722562395,75.31274403660272,75.30822566939723,75.31035927899336,75.3087311367766,75.3067154639465,75.31215515574185
2023-05-12,75.42,74.54,73.99697927569737,74.00049841846635,73.99792921837164,73.99488295118653,73.9965583219303,73.9948611037226,73.99376069779095,73.99775701096047
2023-05-19,76.33,75.42,74.94608331162458,74.9493197244337,74.94699065487441,74.94394530891665,74.94499626602413,74.94471713111663,74.94043081594276,74.9434447485715
2023-05-26,76.0,76.33,75.8028523619078,75.80669170380195,75.80328576734317,75.80091127684219,75.80208277611447,75.79909127304094,75.79808553191081,75.80163472893132
2023-06-02,74.74,76.0,75.48042198901572,75.4851912064943,75.48102116199811,75.47889138403224,75.47900815153923,75.47808809967022,75.47411219622903,75.47787708514979
2023-06-09,76.76,74.74,74.26812020902382,74.27289890848365,74.26891960070466,74.26361285628154,74.26910203285321,74.2667624278243,74.2654332988146,74.27192537214937
2023-06-16,73.56,76.76,75.989539597453,75.99435337098758,75.98953507901098,75.98761375274677,75.9881763645226,75.98820082599866,75.9863673277591,75.98918567961009
2023-06-23,74.51,73.56,72.95771424830336,72.96097407864211,72.95803811552759,72.95595043130358,72.95756981744819,72.95724438159772,72.95211097457381,72.9549725043281
2023-06-30,78.77,74.51,73.91989107830472,73.9241197044646,73.92066550249794,73.91791416980503,73.91809195072656,73.91881035369025,73.91475836437931,73.91779504318637
2023-07-07,79.9,78.77,78.27732609421005,78.28345110403382,78.27785863239811,78.27523826808931,78.27721675420005,78.27452543311031,78.27347509066347,78.27971018577094
2023-07-14,81.06,79.9,79.16884077681708,79.17362746260122,79.16980549303037,79.16555128518064,79.17050773201319,79.16915699076402,79.16297311078421,79.16995223871076
2023-07-21,84.49,81.06,80.8549632299277,80.87466730177707,80.85563330465442,80.86438779927035,80.86302349930676,80.84528706071617,80.85157934925851,80.87908670320311
2023-07-28,87.38,84.49,84.29161365717599,84.30917120066687,84.28858936070023,84.30145232673392,84.29665163239726,84.28632258236618,84.27526373012454,84.29658929903738
2023-08-04,87.93,87.38,87.52584082087759,87.5427461033357,87.52448278248713,87.53345947936201,87.52977366888695,87.51871543889345,87.51732415578705,87.53660398634864
2023-08-11,85.92,87.93,87.4689727951048,87.4888274091363,87.46603850121767,87.47436493730588,87.4731654029529,87.45948110032447,87.46218847471684,87.48320345639968
2023-08-18,85.42,85.92,85.66888275467001,85.68442352824036,85.66653970191206,85.67670963795271,85.67398965107826,85.66462370553668,85.65574677340456,85.6740704134661
2023-08-25,89.98,85.42,85.0670265059634,85.08079266331272,85.06323335185554,85.07681282912671,85.07135398698607,85.06020004163192,85.06512741386939,85.07900463343962
2023-09-01,91.85,89.98,89.79506857101947,89.81255675447586,89.79158217433898,89.80330285459057,89.80059078735441,89.78758525853992,89.77371140376816,89.7929893167976
2023-09-08,95.55,91.85,91.64133594557352,91.65842786151167,91.63857282431279,91.65037907373251,91.64659694475907,91.63659393601213,91.63317745769707,91.652421347266
2023-09-15,93.99,95.55,95.18482703940114,95.20477186618228,95.1817922704952,95.1896469015872,95.187652151808,95.17945644204494,95.17287393949786,95.19107285248984
2023-09-22,95.86,93.99,93.72171547229152,93.74526589666371,93.7171105559972,93.73225290401923,93.72921714580924,93.71706208637502,93.71580071084635,93.74317306586161
2023-09-29,87.86,95.86,95.69235316047693,95.71362705888153,95.69409457641494,95.70319462797447,95.69748084160544,95.6856049215702,95.68146278819124,95.70999473490811
2023-10-06,94.33,87.86,87.6920520810762,87.71275271900981,87.6922509864124,87.70110618084625,87.69638246124062,87.6867921523114,87.68567770281159,87.71061801043693
2023-10-13,93.72,94.33,93.68088863419021,93.69608908392827,93.68335149347038,93.6897980142002,93.68524673448296,93.67926127082193,93.67827631258312,93.69891353984167
2023-10-20,90.73,93.72,93.65030190329246,93.66792495631529,93.65102342374568,93.66294166795088,93.65680766790669,93.65071699774286,93.6457990713922,93.66959347898451
2023-10-27,87.55,90.73,90.46557907716141,90.48525873525642,90.46751582321379,90.47496576090067,90.46590440553054,90.46595235813977,90.46031752120403,90.48417253465371
2023-11-03,83.66,87.55,87.19707164151852,87.21390972852146,87.19695372928041,87.20565139820394,87.20168537832765,87.19361196085902,87.19454818261026,87.21677862725853
2023-11-10,81.22,83.66,83.38881719431568,83.40547021670164,83.38857351242862,83.39599306601367,83.39134767480168,83.38788749340837,83.37585617134486,83.40011081527591
2023-11-17,79.82,81.22,80.81088632856887,80.8279557017647,80.80933055537248,80.81993039826393,80.81475612632464,80.81082374833653,80.80952629428485,80.82864200311208
2023-11-24,78.72,79.82,79.3444272597579,79.36135064826298,79.34234934856993,79.35575084244002,79.34800781891288,79.34486124292478,79.33016510227102,79.3501727747405
2023-12-01,75.94,78.72,78.24546391397023,78.25453266243969,78.24404876593219,78.25484696125513,78.25268475125692,78.24819745700046,78.24707756241305,78.26058139185716
2023-12-08,76.84,75.94,75.92483773752122,75.93248742548613,75.92266912458479,75.93313144922472,75.92761122795895,75.92291126081845,75.9255993091326,75.93375153811247
2023-12-15,80.23,76.84,76.60046238941014,76.61028706921398,76.59922087462049,76.61346850494036,76.60648342345759,76.60232011438961,76.5922247163313,76.60590769260618
2023-12-22,77.69,80.23,79.81440753396261,79.82717753170101,79.81066328791894,79.82348066052148,79.81970803157151,79.812993341026,79.80574292899492,79.8215139496812
2023-12-29,78.31,77.69,77.18143630822948,77.19881201566977,77.18211210305333,77.19095459503207,77.18961616534457,77.18277136420971,77.1819570506966,77.20827345363024
2024-01-05,79.89,78.31,78.30848864251656,78.32314967612267,78.30951239459925,78.31787949838494,78.31299933952799,78.30520474462834,78.30516472311088,78.32424606195111
2024-01-12,80.71,79.89,79.33237679997588,79.34705392351242,79.33177651846614,79.34283743445667,79.33747937620188,79.33452980012045,79.32734973891735,79.34040178066067
