date,f_x,e_f_bg,sum_phi,residual,abs_residual,rel_residual,checkpoint_week
2022-04-22,0.007421401329338551,0.004170669242739677,0.0032413899898529053,9.342096745967865e-06,9.342096745967865e-06,0.0028738351112136806,2022-04-22
2022-04-29,0.005798458121716976,0.004169860389083624,0.0016286356840282679,-3.795139491558075e-08,3.795139491558075e-08,2.3302968637030738e-05,2022-04-22
2022-05-06,0.0077322740107774734,0.004270476754754782,0.003459302242845297,2.495013177394867e-06,2.495013177394867e-06,0.000720725618982443,2022-04-22
2022-05-13,0.006538371555507183,0.004211870953440666,0.0023288042284548283,-2.303626388311386e-06,2.303626388311386e-06,0.0009901637182590942,2022-04-22
2022-05-20,0.006264861673116684,0.004237068817019463,0.002036858117207885,-9.065261110663414e-06,9.065261110663414e-06,0.004470484437580252,2022-04-22
2022-05-27,0.006246349774301052,0.00421534851193428,0.0020109182223677635,2.008303999900818e-05,2.008303999900818e-05,0.009888197259726209,2022-04-22
2022-06-03,0.0067240470089018345,0.004196666646748781,0.0025317391846328974,-4.358822479844093e-06,4.358822479844093e-06,0.0017246336557724567,2022-04-22
2022-06-10,0.008082171902060509,0.004227796103805304,0.0038538824301213026,4.933681339025497e-07,4.933681339025497e-07,0.00012800175169955393,2022-04-22
2022-06-17,0.002674493473023176,0.00418949406594038,-0.001489692716859281,-2.530787605792284e-05,2.530787605792284e-05,0.016704751885062187,2022-04-22
2022-06-24,0.003088744357228279,0.00425071781501174,-0.001156595884822309,-5.3775729611516e-06,5.3775729611516e-06,0.0046279255742672784,2022-04-22
2022-07-01,0.004025520756840706,0.004190451465547085,-0.00015836386592127383,-6.566842785105109e-06,6.566842785105109e-06,0.03981335375971464,2022-04-22
2022-07-08,0.006905912421643734,0.004232597071677446,0.0026750536635518074,-1.7383135855197906e-06,1.7383135855197906e-06,0.0006502439314173683,2022-04-22
2022-07-15,0.0014546087477356195,0.004217748064547777,-0.0027706993278115988,7.560010999441147e-06,7.560010999441147e-06,0.002736012474404794,2022-04-22
2022-07-22,-0.0010982458479702473,0.001601468538865447,-0.002668665489181876,-3.104889765381813e-05,3.104889765381813e-05,0.011500765709721231,2022-07-22
2022-07-29,-0.0017442707903683186,0.001642830902710557,-0.003452849108725786,6.574741564691067e-05,6.574741564691067e-05,0.019411056264030797,2022-07-22
2022-08-05,-0.0010809428058564663,0.001639641704969108,-0.0027029721532016993,-1.761235762387514e-05,1.761235762387514e-05,0.006473716518133607,2022-07-22
2022-08-12,-0.0025834464468061924,0.0016502180369570851,-0.004244750831276178,1.108634751290083e-05,1.108634751290083e-05,0.002618611221863772,2022-07-22
2022-08-19,-0.0007193796336650848,0.0016385558992624283,-0.0023579758126288652,4.0279701352119446e-08,4.0279701352119446e-08,1.7082541046700975e-05,2022-07-22
2022-08-26,-0.0008208490908145905,0.001628410303965211,-0.002468193881213665,1.893448643386364e-05,1.893448643386364e-05,0.007730667142707641,2022-07-22
2022-09-02,-0.0023716064170002937,0.0016045831143856049,-0.0039246343076229095,-5.1555223762989044e-05,5.1555223762989044e-05,0.012965954891358168,2022-07-22
2022-09-09,-0.0009344033896923065,0.001602336298674345,-0.00252852332778275,-8.216360583901405e-06,8.216360583901405e-06,0.0032389323320235475,2022-07-22
2022-09-16,-0.0025936258025467396,0.0015497999265789986,-0.0041512008756399155,7.775146514177322e-06,7.775146514177322e-06,0.001876497434127661,2022-07-22
2022-09-23,-0.0040290467441082,0.0015764496056362987,-0.005609138403087854,3.6420533433556557e-06,3.6420533433556557e-06,0.0006497278062171248,2022-07-22
2022-09-30,-0.004583099391311407,0.0015688424464315176,-0.0061628189869225025,1.0877149179577827e-05,1.0877149179577827e-05,0.0017680810036329088,2022-07-22
2022-10-07,-0.0015592561103403568,0.001591646228916943,-0.0031550205312669277,4.118192009627819e-06,4.118192009627819e-06,0.0013069839989894852,2022-07-22
