emb_row,site_id,site_name,site_type,month,year,obs_month_start,mean_cloud,n_scenes,patch_px,filename,sensor,emb_model,emb_dim,emb_ok
122,P002,Fujairah,terminal,2022_04,2022,2022-04-01,10.778743166666668,6,320,S2_P002_Fujairah_2022_04.tif,S2,Prithvi-EO-2.0-300M,1024,1
123,P002,Fujairah,terminal,2022_05,2022,2022-05-01,17.1964335,6,320,S2_P002_Fujairah_2022_05.tif,S2,Prithvi-EO-2.0-300M,1024,1
124,P002,Fujairah,terminal,2022_06,2022,2022-06-01,28.822173599999996,5,320,S2_P002_Fujairah_2022_06.tif,S2,Prithvi-EO-2.0-300M,1024,1
125,P002,Fujairah,terminal,2022_07,2022,2022-07-01,33.77339966666667,3,320,S2_P002_Fujairah_2022_07.tif,S2,Prithvi-EO-2.0-300M,1024,1
126,P002,Fujairah,terminal,2022_08,2022,2022-08-01,17.42732714285714,7,320,S2_P002_Fujairah_2022_08.tif,S2,Prithvi-EO-2.0-300M,1024,1
127,P002,Fujairah,terminal,2022_09,2022,2022-09-01,3.3628515,6,320,S2_P002_Fujairah_2022_09.tif,S2,Prithvi-EO-2.0-300M,1024,1
128,P002,Fujairah,terminal,2022_10,2022,2022-10-01,1.075628,6,320,S2_P002_Fujairah_2022_10.tif,S2,Prithvi-EO-2.0-300M,1024,1
129,P002,Fujairah,terminal,2022_11,2022,2022-11-01,6.1190869999999995,6,320,S2_P002_Fujairah_2022_11.tif,S2,Prithvi-EO-2.0-300M,1024,1
130,P002,Fujairah,terminal,2022_12,2022,2022-12-01,15.575386833333331,6,320,S2_P002_Fujairah_2022_12.tif,S2,Prithvi-EO-2.0-300M,1024,1
131,P002,Fujairah,terminal,2023_01,2023,2023-01-01,47.622293333333324,3,320,S2_P002_Fujairah_2023_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
132,P002,Fujairah,terminal,2023_02,2023,2023-02-01,14.282353,6,320,S2_P002_Fujairah_2023_02.tif,S2,Prithvi-EO-2.0-300M,1024,1
133,P002,Fujairah,terminal,2023_03,2023,2023-03-01,24.254658,5,320,S2_P002_Fujairah_2023_03.tif,S2,Prithvi-EO-2.0-300M,1024,1
134,P002,Fujairah,terminal,2023_04,2023,2023-04-01,14.2362236,5,320,S2_P002_Fujairah_2023_04.tif,S2,Prithvi-EO-2.0-300M,1024,1
135,P002,Fujairah,terminal,2023_05,2023,2023-05-01,36.4300036,5,320,S2_P002_Fujairah_2023_05.tif,S2,Prithvi-EO-2.0-300M,1024,1
136,P002,Fujairah,terminal,2023_06,2023,2023-06-01,37.1899315,6,320,S2_P002_Fujairah_2023_06.tif,S2,Prithvi-EO-2.0-300M,1024,1
137,P002,Fujairah,terminal,2023_07,2023,2023-07-01,30.5530146,5,320,S2_P002_Fujairah_2023_07.tif,S2,Prithvi-EO-2.0-300M,1024,1
138,P002,Fujairah,terminal,2023_08,2023,2023-08-01,18.322275285714284,7,320,S2_P002_Fujairah_2023_08.tif,S2,Prithvi-EO-2.0-300M,1024,1
139,P002,Fujairah,terminal,2023_09,2023,2023-09-01,5.215854666666668,6,320,S2_P002_Fujairah_2023_09.tif,S2,Prithvi-EO-2.0-300M,1024,1
140,P002,Fujairah,terminal,2023_10,2023,2023-10-01,10.843983166666668,6,320,S2_P002_Fujairah_2023_10.tif,S2,Prithvi-EO-2.0-300M,1024,1
141,P002,Fujairah,terminal,2023_11,2023,2023-11-01,15.051627200000002,5,320,S2_P002_Fujairah_2023_11.tif,S2,Prithvi-EO-2.0-300M,1024,1
142,P002,Fujairah,terminal,2023_12,2023,2023-12-01,17.0013306,5,320,S2_P002_Fujairah_2023_12.tif,S2,Prithvi-EO-2.0-300M,1024,1
143,P002,Fujairah,terminal,2024_01,2024,2024-01-01,9.5713478,5,320,S2_P002_Fujairah_2024_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
144,P002,Fujairah,terminal,2024_02,2024,2024-02-01,1.8145860000000005,3,320,S2_P002_Fujairah_2024_02.tif,S2,Prithvi-EO-2.0-300M,1024,1
145,P002,Fujairah,terminal,2024_03,2024,2024-03-01,8.68470175,4,320,S2_P002_Fujairah_2024_03.tif,S2,Prithvi-EO-2.0-300M,1024,1
146,P002,Fujairah,terminal,2024_04,2024,2024-04-01,21.5526274,5,320,S2_P002_Fujairah_2024_04.tif,S2,Prithvi-EO-2.0-300M,1024,1
147,P002,Fujairah,terminal,2024_05,2024,2024-05-01,30.3407496,5,320,S2_P002_Fujairah_2024_05.tif,S2,Prithvi-EO-2.0-300M,1024,1
148,P002,Fujairah,terminal,2024_06,2024,2024-06-01,42.099800833333326,6,320,S2_P002_Fujairah_2024_06.tif,S2,Prithvi-EO-2.0-300M,1024,1
149,P002,Fujairah,terminal,2024_07,2024,2024-07-01,42.76009833333333,6,320,S2_P002_Fujairah_2024_07.tif,S2,Prithvi-EO-2.0-300M,1024,1
150,P002,Fujairah,terminal,2024_08,2024,2024-08-01,33.629782000000006,4,320,S2_P002_Fujairah_2024_08.tif,S2,Prithvi-EO-2.0-300M,1024,1
151,P002,Fujairah,terminal,2024_09,2024,2024-09-01,5.3225172,5,320,S2_P002_Fujairah_2024_09.tif,S2,Prithvi-EO-2.0-300M,1024,1
152,P002,Fujairah,terminal,2024_10,2024,2024-10-01,5.414674333333333,6,320,S2_P002_Fujairah_2024_10.tif,S2,Prithvi-EO-2.0-300M,1024,1
153,P002,Fujairah,terminal,2024_11,2024,2024-11-01,2.2776593333333333,6,320,S2_P002_Fujairah_2024_11.tif,S2,Prithvi-EO-2.0-300M,1024,1
154,P002,Fujairah,terminal,2024_12,2024,2024-12-01,6.133793833333333,6,320,S2_P002_Fujairah_2024_12.tif,S2,Prithvi-EO-2.0-300M,1024,1
155,P002,Fujairah,terminal,2025_01,2025,2025-01-01,16.053355333333336,6,320,S2_P002_Fujairah_2025_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
156,P002,Fujairah,terminal,2025_02,2025,2025-02-01,16.1116666,5,320,S2_P002_Fujairah_2025_02.tif,S2,Prithvi-EO-2.0-300M,1024,1
157,P002,Fujairah,terminal,2025_03,2025,2025-03-01,17.5079955,6,320,S2_P002_Fujairah_2025_03.tif,S2,Prithvi-EO-2.0-300M,1024,1
158,P002,Fujairah,terminal,2025_04,2025,2025-04-01,0.8114583333333334,6,320,S2_P002_Fujairah_2025_04.tif,S2,Prithvi-EO-2.0-300M,1024,1
159,P002,Fujairah,terminal,2025_05,2025,2025-05-01,27.5248255,8,320,S2_P002_Fujairah_2025_05.tif,S2,Prithvi-EO-2.0-300M,1024,1
160,P002,Fujairah,terminal,2025_06,2025,2025-06-01,33.29748942857143,7,320,S2_P002_Fujairah_2025_06.tif,S2,Prithvi-EO-2.0-300M,1024,1
