feature_index,channel,slot,lag,node_id,node_type,feature,group
236,aoi,0,4,P011,aoi,pw_import_tanker,PortWatch_directional
237,aoi,0,4,P011,aoi,pw_export_tanker,PortWatch_directional
238,aoi,0,4,P011,aoi,gfw_n_visits,GFW
239,aoi,0,4,P011,aoi,gfw_dwell_hrs_mean,GFW
240,aoi,0,4,P011,aoi,gfw_dwell_hrs_median,GFW
241,aoi,0,4,P011,aoi,gfw_self_loops,GFW
242,aoi,0,4,P011,aoi,sar_detections_total,SAR
243,aoi,0,4,P011,aoi,sar_detections_dark,SAR
244,aoi,0,4,P011,aoi,sar_dark_share,SAR
245,aoi,1,3,P001,aoi,pw_portcalls_tanker,PortWatch_directional
246,aoi,1,3,P001,aoi,pw_portcalls_cargo,PortWatch_directional
247,aoi,1,3,P001,aoi,pw_import_tanker,PortWatch_directional
248,aoi,1,3,P001,aoi,pw_export_tanker,PortWatch_directional
249,aoi,1,3,P001,aoi,gfw_n_visits,GFW
250,aoi,1,3,P001,aoi,gfw_dwell_hrs_mean,GFW
251,aoi,1,3,P001,aoi,gfw_dwell_hrs_median,GFW
252,aoi,1,3,P001,aoi,gfw_self_loops,GFW
253,aoi,1,3,P001,aoi,sar_detections_total,SAR
254,aoi,1,3,P001,aoi,sar_detections_dark,SAR
255,aoi,1,3,P001,aoi,sar_dark_share,SAR
256,aoi,1,3,P002,aoi,pw_portcalls_tanker,PortWatch_directional
257,aoi,1,3,P002,aoi,pw_portcalls_cargo,PortWatch_directional
258,aoi,1,3,P002,aoi,pw_import_tanker,PortWatch_directional
259,aoi,1,3,P002,aoi,pw_export_tanker,PortWatch_directional
260,aoi,1,3,P002,aoi,gfw_n_visits,GFW
261,aoi,1,3,P002,aoi,gfw_dwell_hrs_mean,GFW
262,aoi,1,3,P002,aoi,gfw_dwell_hrs_median,GFW
263,aoi,1,3,P002,aoi,gfw_self_loops,GFW
264,aoi,1,3,P002,aoi,sar_detections_total,SAR
265,aoi,1,3,P002,aoi,sar_detections_dark,SAR
266,aoi,1,3,P002,aoi,sar_dark_share,SAR
267,aoi,1,3,P003,aoi,pw_portcalls_tanker,PortWatch_directional
268,aoi,1,3,P003,aoi,pw_portcalls_cargo,PortWatch_directional
269,aoi,1,3,P003,aoi,pw_import_tanker,PortWatch_directional
270,aoi,1,3,P003,aoi,pw_export_tanker,PortWatch_directional
271,aoi,1,3,P003,aoi,gfw_n_visits,GFW
272,aoi,1,3,P003,aoi,gfw_dwell_hrs_mean,GFW
273,aoi,1,3,P003,aoi,gfw_dwell_hrs_median,GFW
274,aoi,1,3,P003,aoi,gfw_self_loops,GFW
275,aoi,1,3,P003,aoi,sar_detections_total,SAR
276,aoi,1,3,P003,aoi,sar_detections_dark,SAR
277,aoi,1,3,P003,aoi,sar_dark_share,SAR
278,aoi,1,3,P004,aoi,pw_portcalls_tanker,PortWatch_directional
279,aoi,1,3,P004,aoi,pw_portcalls_cargo,PortWatch_directional
280,aoi,1,3,P004,aoi,pw_import_tanker,PortWatch_directional
281,aoi,1,3,P004,aoi,pw_export_tanker,PortWatch_directional
282,aoi,1,3,P004,aoi,gfw_n_visits,GFW
283,aoi,1,3,P004,aoi,gfw_dwell_hrs_mean,GFW
284,aoi,1,3,P004,aoi,gfw_dwell_hrs_median,GFW
285,aoi,1,3,P004,aoi,gfw_self_loops,GFW
286,aoi,1,3,P004,aoi,sar_detections_total,SAR
287,aoi,1,3,P004,aoi,sar_detections_dark,SAR
288,aoi,1,3,P004,aoi,sar_dark_share,SAR
289,aoi,1,3,P005,aoi,pw_portcalls_tanker,PortWatch_directional
290,aoi,1,3,P005,aoi,pw_portcalls_cargo,PortWatch_directional
291,aoi,1,3,P005,aoi,pw_import_tanker,PortWatch_directional
292,aoi,1,3,P005,aoi,pw_export_tanker,PortWatch_directional
293,aoi,1,3,P005,aoi,gfw_n_visits,GFW
294,aoi,1,3,P005,aoi,gfw_dwell_hrs_mean,GFW
295,aoi,1,3,P005,aoi,gfw_dwell_hrs_median,GFW
296,aoi,1,3,P005,aoi,gfw_self_loops,GFW
297,aoi,1,3,P005,aoi,sar_detections_total,SAR
298,aoi,1,3,P005,aoi,sar_detections_dark,SAR
299,aoi,1,3,P005,aoi,sar_dark_share,SAR
300,aoi,1,3,P006,aoi,pw_portcalls_tanker,PortWatch_directional
301,aoi,1,3,P006,aoi,pw_portcalls_cargo,PortWatch_directional
302,aoi,1,3,P006,aoi,pw_import_tanker,PortWatch_directional
303,aoi,1,3,P006,aoi,pw_export_tanker,PortWatch_directional
304,aoi,1,3,P006,aoi,gfw_n_visits,GFW
305,aoi,1,3,P006,aoi,gfw_dwell_hrs_mean,GFW
306,aoi,1,3,P006,aoi,gfw_dwell_hrs_median,GFW
307,aoi,1,3,P006,aoi,gfw_self_loops,GFW
308,aoi,1,3,P006,aoi,sar_detections_total,SAR
309,aoi,1,3,P006,aoi,sar_detections_dark,SAR
310,aoi,1,3,P006,aoi,sar_dark_share,SAR
311,aoi,1,3,P007,aoi,pw_portcalls_tanker,PortWatch_directional
312,aoi,1,3,P007,aoi,pw_portcalls_cargo,PortWatch_directional
313,aoi,1,3,P007,aoi,pw_import_tanker,PortWatch_directional
314,aoi,1,3,P007,aoi,pw_export_tanker,PortWatch_directional
315,aoi,1,3,P007,aoi,gfw_n_visits,GFW
316,aoi,1,3,P007,aoi,gfw_dwell_hrs_mean,GFW
317,aoi,1,3,P007,aoi,gfw_dwell_hrs_median,GFW
318,aoi,1,3,P007,aoi,gfw_self_loops,GFW
319,aoi,1,3,P007,aoi,sar_detections_total,SAR
320,aoi,1,3,P007,aoi,sar_detections_dark,SAR
321,aoi,1,3,P007,aoi,sar_dark_share,SAR
322,aoi,1,3,P008,aoi,pw_portcalls_tanker,PortWatch_directional
323,aoi,1,3,P008,aoi,pw_portcalls_cargo,PortWatch_directional
324,aoi,1,3,P008,aoi,pw_import_tanker,PortWatch_directional
325,aoi,1,3,P008,aoi,pw_export_tanker,PortWatch_directional
326,aoi,1,3,P008,aoi,gfw_n_visits,GFW
327,aoi,1,3,P008,aoi,gfw_dwell_hrs_mean,GFW
328,aoi,1,3,P008,aoi,gfw_dwell_hrs_median,GFW
329,aoi,1,3,P008,aoi,gfw_self_loops,GFW
330,aoi,1,3,P008,aoi,sar_detections_total,SAR
331,aoi,1,3,P008,aoi,sar_detections_dark,SAR
332,aoi,1,3,P008,aoi,sar_dark_share,SAR
333,aoi,1,3,P009,aoi,pw_portcalls_tanker,PortWatch_directional
334,aoi,1,3,P009,aoi,pw_portcalls_cargo,PortWatch_directional
335,aoi,1,3,P009,aoi,pw_import_tanker,PortWatch_directional
336,aoi,1,3,P009,aoi,pw_export_tanker,PortWatch_directional
337,aoi,1,3,P009,aoi,gfw_n_visits,GFW
338,aoi,1,3,P009,aoi,gfw_dwell_hrs_mean,GFW
339,aoi,1,3,P009,aoi,gfw_dwell_hrs_median,GFW
340,aoi,1,3,P009,aoi,gfw_self_loops,GFW
341,aoi,1,3,P009,aoi,sar_detections_total,SAR
342,aoi,1,3,P009,aoi,sar_detections_dark,SAR
343,aoi,1,3,P009,aoi,sar_dark_share,SAR
344,aoi,1,3,P010,aoi,pw_portcalls_tanker,PortWatch_directional
345,aoi,1,3,P010,aoi,pw_portcalls_cargo,PortWatch_directional
346,aoi,1,3,P010,aoi,pw_import_tanker,PortWatch_directional
347,aoi,1,3,P010,aoi,pw_export_tanker,PortWatch_directional
348,aoi,1,3,P010,aoi,gfw_n_visits,GFW
349,aoi,1,3,P010,aoi,gfw_dwell_hrs_mean,GFW
350,aoi,1,3,P010,aoi,gfw_dwell_hrs_median,GFW
351,aoi,1,3,P010,aoi,gfw_self_loops,GFW
352,aoi,1,3,P010,aoi,sar_detections_total,SAR
353,aoi,1,3,P010,aoi,sar_detections_dark,SAR
354,aoi,1,3,P010,aoi,sar_dark_share,SAR
355,aoi,1,3,P011,aoi,pw_portcalls_tanker,PortWatch_directional
356,aoi,1,3,P011,aoi,pw_portcalls_cargo,PortWatch_directional
357,aoi,1,3,P011,aoi,pw_import_tanker,PortWatch_directional
358,aoi,1,3,P011,aoi,pw_export_tanker,PortWatch_directional
359,aoi,1,3,P011,aoi,gfw_n_visits,GFW
360,aoi,1,3,P011,aoi,gfw_dwell_hrs_mean,GFW
361,aoi,1,3,P011,aoi,gfw_dwell_hrs_median,GFW
362,aoi,1,3,P011,aoi,gfw_self_loops,GFW
363,aoi,1,3,P011,aoi,sar_detections_total,SAR
364,aoi,1,3,P011,aoi,sar_detections_dark,SAR
365,aoi,1,3,P011,aoi,sar_dark_share,SAR
366,aoi,2,2,P001,aoi,pw_portcalls_tanker,PortWatch_directional
