date,period_id
2025-09-26,full
2025-09-26,year_2025
2025-10-03,full
2025-10-03,year_2025
2025-10-10,full
2025-10-10,year_2025
2025-10-17,full
2025-10-17,year_2025
2025-10-24,full
2025-10-24,year_2025
2025-10-31,full
2025-10-31,year_2025
2025-11-07,full
2025-11-07,year_2025
2025-11-14,full
2025-11-14,year_2025
2025-11-21,full
2025-11-21,year_2025
2025-11-28,full
2025-11-28,year_2025
2025-12-05,full
2025-12-05,year_2025
2025-12-12,full
2025-12-12,year_2025
2025-12-19,full
2025-12-19,year_2025
