week_ending_friday,from_site,to_site,n_voyages,mean_transit_days
2019-04-26,P001,P004,22.0,43.77474371693122
2019-04-26,P001,P005,3.0,43.92114583333333
2019-04-26,P001,P006,1.0,52.498530092592596
2019-04-26,P001,P008,0.0,
2019-04-26,P001,P009,0.0,
2019-04-26,P001,P011,1.0,43.724699074074074
2019-04-26,P002,P001,1.0,82.79922453703703
2019-04-26,P002,P003,0.0,
2019-04-26,P002,P004,10.0,50.51408709490741
2019-04-26,P002,P005,2.0,76.72270833333333
2019-04-26,P002,P006,1.0,
2019-04-26,P002,P007,0.0,
2019-04-26,P002,P008,0.0,
2019-04-26,P002,P009,0.0,
2019-04-26,P002,P010,0.0,
2019-04-26,P002,P011,1.0,11.079641203703703
2019-04-26,P003,P002,4.0,4.4839091435185185
2019-04-26,P003,P004,13.0,27.176316773504272
2019-04-26,P003,P005,0.0,
2019-04-26,P003,P006,0.0,
2019-04-26,P003,P008,2.0,0.8029513888888888
2019-04-26,P003,P009,0.0,
2019-04-26,P004,P001,18.0,35.567260802469136
2019-04-26,P004,P002,13.0,39.92933226495727
2019-04-26,P004,P003,9.0,15.707796585648149
2019-04-26,P004,P005,3.0,49.7115162037037
2019-04-26,P004,P006,22.0,26.34303472222222
2019-04-26,P004,P007,1.0,74.43956018518519
2019-04-26,P004,P008,1.0,15.199143518518518
2019-04-26,P004,P009,10.0,31.993525462962964
2019-04-26,P004,P011,0.0,
2019-04-26,P005,P001,4.0,30.854869791666665
2019-04-26,P005,P002,0.0,
2019-04-26,P005,P003,1.0,48.22246527777778
2019-04-26,P005,P004,0.0,
2019-04-26,P005,P006,0.0,
2019-04-26,P005,P008,0.0,
2019-04-26,P006,P001,1.0,30.78556712962963
2019-04-26,P006,P002,1.0,73.86530092592592
2019-04-26,P006,P004,34.0,24.888455541939
2019-04-26,P006,P005,1.0,65.23241898148149
2019-04-26,P006,P008,0.0,
2019-04-26,P006,P009,3.0,28.032876157407408
2019-04-26,P007,P002,1.0,10.053344907407409
2019-04-26,P007,P004,0.0,
2019-04-26,P008,P002,5.0,15.556025462962964
2019-04-26,P008,P003,2.0,12.704375
2019-04-26,P008,P004,1.0,20.10144675925926
2019-04-26,P008,P006,0.0,
2019-04-26,P008,P010,0.0,
2019-04-26,P009,P001,0.0,
2019-04-26,P009,P002,1.0,35.49065972222222
2019-04-26,P009,P004,12.0,24.58375096450617
2019-04-26,P009,P005,0.0,
2019-04-26,P009,P006,1.0,42.92658564814815
2019-04-26,P010,P008,0.0,
2019-04-26,P011,P001,0.0,
2019-04-26,P011,P002,0.0,
2019-04-26,P011,P004,1.0,88.90936342592593
2019-04-26,P011,P009,0.0,
2019-05-03,P001,P002,1.0,50.000092592592594
2019-05-03,P001,P003,0.0,
2019-05-03,P001,P004,14.0,43.525066137566135
2019-05-03,P001,P005,3.0,35.46018904320988
2019-05-03,P001,P006,0.0,
2019-05-03,P001,P008,0.0,
2019-05-03,P001,P009,0.0,
2019-05-03,P001,P011,0.0,
2019-05-03,P002,P001,0.0,
2019-05-03,P002,P003,4.0,28.69158564814815
2019-05-03,P002,P004,10.0,50.18884606481482
2019-05-03,P002,P005,1.0,64.97832175925926
2019-05-03,P002,P006,3.0,29.480787037037036
2019-05-03,P002,P007,0.0,
2019-05-03,P002,P008,2.0,14.353651620370371
2019-05-03,P002,P009,0.0,
2019-05-03,P002,P010,0.0,
2019-05-03,P002,P011,1.0,7.396886574074074
2019-05-03,P003,P002,8.0,11.913592923280422
2019-05-03,P003,P004,5.0,24.194939814814813
2019-05-03,P003,P005,0.0,
2019-05-03,P003,P006,0.0,
2019-05-03,P003,P008,1.0,1.0014351851851853
2019-05-03,P003,P009,2.0,25.73263888888889
2019-05-03,P004,P001,20.0,30.33213425925926
2019-05-03,P004,P002,19.0,43.30982124485597
2019-05-03,P004,P003,10.0,18.411006944444445
2019-05-03,P004,P005,6.0,63.02318865740741
2019-05-03,P004,P006,33.0,28.25111707351291
2019-05-03,P004,P007,0.0,
2019-05-03,P004,P008,1.0,13.854247685185186
2019-05-03,P004,P009,6.0,12.941624228395062
2019-05-03,P004,P011,0.0,
2019-05-03,P005,P001,5.0,23.69802314814815
2019-05-03,P005,P002,1.0,59.41663194444445
2019-05-03,P005,P003,1.0,47.145833333333336
2019-05-03,P005,P004,4.0,60.84302469135803
2019-05-03,P005,P006,0.0,
2019-05-03,P005,P008,0.0,
2019-05-03,P006,P001,0.0,
2019-05-03,P006,P002,0.0,
2019-05-03,P006,P004,31.0,21.361575194145757
2019-05-03,P006,P005,2.0,56.81109375
2019-05-03,P006,P008,1.0,21.56648148148148
2019-05-03,P006,P009,1.0,12.498506944444443
2019-05-03,P007,P002,0.0,
2019-05-03,P007,P004,0.0,
2019-05-03,P008,P002,2.0,1.8465277777777775
2019-05-03,P008,P003,1.0,3.2696296296296294
2019-05-03,P008,P004,0.0,
2019-05-03,P008,P006,1.0,24.35215277777778
2019-05-03,P008,P010,0.0,
