week_ending_friday,site_id,pw_portcalls_tanker,pw_portcalls_cargo,pw_import_tanker,pw_export_tanker,gfw_n_visits,gfw_dwell_hrs_mean,gfw_dwell_hrs_median,gfw_self_loops,sar_detections_total,sar_detections_dark,sar_dark_share,avail_node
2019-03-15,P005,84.0,42.0,625813.0,1732439.0,44.0,105.50398358585858,85.69472222222223,15.0,18.0,3.0,0.1666666666666666,1
2019-03-15,P006,82.0,236.0,1330391.0,478138.0,466.0,60.23378893794457,31.48638888888889,313.0,245.0,13.0,0.0530612244897959,1
2019-03-15,P007,6.0,0.0,4490.0,249381.0,0.0,,,0.0,52.0,16.0,0.3076923076923077,1
2019-03-15,P008,16.0,0.0,2587.0,2990587.0,9.0,17.01398148148148,8.652777777777779,5.0,483.0,273.0,0.5652173913043478,1
2019-03-15,P009,212.0,72.0,1638326.0,1099646.0,98.0,46.48862528344671,17.890972222222224,50.0,306.0,44.0,0.1437908496732026,1
2019-03-15,P010,3.0,0.0,0.0,271071.0,2.0,112.46569444444444,112.46569444444444,2.0,113.0,93.0,0.8230088495575221,1
2019-03-15,P011,26.0,3.0,244418.0,926001.0,2.0,100.53819444444444,100.53819444444444,0.0,7.0,4.0,0.5714285714285714,1
2019-03-22,P001,335.0,310.0,3691763.0,1016250.0,302.0,46.57788631346578,32.19277777777778,221.0,104.0,14.0,0.1346153846153846,1
2019-03-22,P002,51.0,9.0,475392.0,508974.0,107.0,34.4096313603323,18.834722222222226,47.0,768.0,47.0,0.0611979166666666,1
2019-03-22,P003,9.0,0.0,132300.0,571079.0,20.0,139.25179824561405,90.50166666666668,4.0,248.0,72.0,0.2903225806451613,1
2019-03-22,P004,452.0,399.0,2947484.0,2021123.0,622.0,30.477273297491042,22.553888888888892,348.0,833.0,78.0,0.0936374549819928,1
2019-03-22,P005,116.0,45.0,722738.0,2634685.0,41.0,100.06911246612466,64.50166666666667,12.0,18.0,3.0,0.1666666666666666,1
2019-03-22,P006,96.0,266.0,1200175.0,215335.0,466.0,72.16561342592593,35.38305555555556,322.0,245.0,13.0,0.0530612244897959,1
2019-03-22,P007,5.0,0.0,0.0,120529.0,0.0,,,0.0,52.0,16.0,0.3076923076923077,1
2019-03-22,P008,14.0,0.0,2587.0,2541949.0,10.0,69.86219444444444,20.60194444444444,3.0,483.0,273.0,0.5652173913043478,1
2019-03-22,P009,207.0,75.0,2249612.0,1108500.0,73.0,53.38371141975309,16.163055555555555,42.0,306.0,44.0,0.1437908496732026,1
2019-03-22,P010,2.0,0.0,0.0,49601.0,3.0,13.465925925925925,12.95,2.0,113.0,93.0,0.8230088495575221,1
2019-03-22,P011,24.0,3.0,169416.0,708461.0,6.0,91.90356481481483,82.15013888888889,0.0,7.0,4.0,0.5714285714285714,1
2019-03-29,P001,354.0,314.0,3046871.0,1019183.0,277.0,54.680320898515845,36.24444444444445,197.0,107.0,16.0,0.1495327102803738,1
2019-03-29,P002,55.0,4.0,755891.0,596104.0,104.0,28.18173878205128,15.369166666666667,45.0,468.0,27.0,0.0576923076923076,1
2019-03-29,P003,12.0,0.0,50450.0,751965.0,25.0,120.0123111111111,48.736111111111114,5.0,188.0,48.0,0.2553191489361702,1
2019-03-29,P004,443.0,379.0,3412238.0,2502103.0,590.0,29.222144482366325,21.65277777777778,362.0,623.0,44.0,0.0706260032102728,1
2019-03-29,P005,105.0,56.0,545834.0,1930728.0,40.0,91.98140277777779,59.0,22.0,22.0,8.0,0.3636363636363636,1
2019-03-29,P006,95.0,261.0,2160906.0,214054.0,514.0,62.47705225522552,33.64416666666666,380.0,250.0,24.0,0.096,1
2019-03-29,P007,6.0,0.0,15201.0,83279.0,1.0,61.41166666666667,61.41166666666667,0.0,33.0,20.0,0.6060606060606061,1
2019-03-29,P008,14.0,1.0,283876.0,2584215.0,15.0,70.57331481481482,24.618333333333332,7.0,558.0,380.0,0.6810035842293907,1
