site_id,site_name,site_type,month,year,filename,file_exists,excluded,pixel_valid,valid_mask,n_scenes,mean_cloud,patch_px,crs,exclude_reason
P001,Rotterdam,port,2026_04,2026,S2_P001_Rotterdam_2026_04.tif,1,0,1,1,7,26.64020371428571,640,EPSG:32631,
P001,Rotterdam,port,2026_05,2026,S2_P001_Rotterdam_2026_05.tif,1,0,1,1,5,17.7944334,640,EPSG:32631,
P001,Rotterdam,port,2026_06,2026,S2_P001_Rotterdam_2026_06.tif,1,0,1,1,6,39.796461,640,EPSG:32631,
P002,Fujairah,terminal,2019_01,2019,S2_P002_Fujairah_2019_01.tif,1,0,1,1,5,30.884456199999995,320,EPSG:32640,
P002,Fujairah,terminal,2019_02,2019,S2_P002_Fujairah_2019_02.tif,1,0,1,1,5,8.160787800000001,320,EPSG:32640,
P002,Fujairah,terminal,2019_03,2019,S2_P002_Fujairah_2019_03.tif,1,0,1,1,4,6.221385999999999,320,EPSG:32640,
P002,Fujairah,terminal,2019_04,2019,S2_P002_Fujairah_2019_04.tif,1,0,1,1,5,17.803443800000004,320,EPSG:32640,
P002,Fujairah,terminal,2019_05,2019,S2_P002_Fujairah_2019_05.tif,1,0,1,1,5,34.9782134,320,EPSG:32640,
P002,Fujairah,terminal,2019_06,2019,S2_P002_Fujairah_2019_06.tif,1,0,1,1,6,33.81697316666666,320,EPSG:32640,
P002,Fujairah,terminal,2019_07,2019,S2_P002_Fujairah_2019_07.tif,1,0,1,1,6,22.176396666666665,320,EPSG:32640,
P002,Fujairah,terminal,2019_08,2019,S2_P002_Fujairah_2019_08.tif,1,0,1,1,6,18.068168,320,EPSG:32640,
P002,Fujairah,terminal,2019_09,2019,S2_P002_Fujairah_2019_09.tif,1,0,1,1,5,4.481882400000001,320,EPSG:32640,
P002,Fujairah,terminal,2019_10,2019,S2_P002_Fujairah_2019_10.tif,1,0,1,1,7,10.254037857142858,320,EPSG:32640,
P002,Fujairah,terminal,2019_11,2019,S2_P002_Fujairah_2019_11.tif,1,0,1,1,6,21.300564500000004,320,EPSG:32640,
P002,Fujairah,terminal,2019_12,2019,S2_P002_Fujairah_2019_12.tif,1,0,1,1,6,19.858205333333334,320,EPSG:32640,
P002,Fujairah,terminal,2020_01,2020,S2_P002_Fujairah_2020_01.tif,1,0,1,1,5,17.542438,320,EPSG:32640,
P002,Fujairah,terminal,2020_02,2020,S2_P002_Fujairah_2020_02.tif,1,0,1,1,6,18.6172425,320,EPSG:32640,
P002,Fujairah,terminal,2020_03,2020,S2_P002_Fujairah_2020_03.tif,1,0,1,1,3,15.982301333333334,320,EPSG:32640,
P002,Fujairah,terminal,2020_04,2020,S2_P002_Fujairah_2020_04.tif,1,0,1,1,5,12.9942982,320,EPSG:32640,
P002,Fujairah,terminal,2020_05,2020,S2_P002_Fujairah_2020_05.tif,1,0,1,1,6,30.69380316666667,320,EPSG:32640,
P002,Fujairah,terminal,2020_06,2020,S2_P002_Fujairah_2020_06.tif,1,0,1,1,6,29.22564033333333,320,EPSG:32640,
P002,Fujairah,terminal,2020_07,2020,S2_P002_Fujairah_2020_07.tif,1,0,1,1,6,31.930099,320,EPSG:32640,
P002,Fujairah,terminal,2020_08,2020,S2_P002_Fujairah_2020_08.tif,1,0,1,1,6,27.069399333333337,320,EPSG:32640,
P002,Fujairah,terminal,2020_09,2020,S2_P002_Fujairah_2020_09.tif,1,0,1,1,6,0.7135491666666667,320,EPSG:32640,
P002,Fujairah,terminal,2020_10,2020,S2_P002_Fujairah_2020_10.tif,1,0,1,1,6,0.208118,320,EPSG:32640,
P002,Fujairah,terminal,2020_11,2020,S2_P002_Fujairah_2020_11.tif,1,0,1,1,6,8.289508166666666,320,EPSG:32640,
P002,Fujairah,terminal,2020_12,2020,S2_P002_Fujairah_2020_12.tif,1,0,1,1,6,3.5047076666666666,320,EPSG:32640,
P002,Fujairah,terminal,2021_01,2021,S2_P002_Fujairah_2021_01.tif,1,0,1,1,6,3.374931,320,EPSG:32640,
P002,Fujairah,terminal,2021_02,2021,S2_P002_Fujairah_2021_02.tif,1,0,1,1,6,5.2852545,320,EPSG:32640,
P002,Fujairah,terminal,2021_03,2021,S2_P002_Fujairah_2021_03.tif,1,0,1,1,6,4.7327821666666665,320,EPSG:32640,
P002,Fujairah,terminal,2021_04,2021,S2_P002_Fujairah_2021_04.tif,1,0,1,1,6,11.0217945,320,EPSG:32640,
